,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
54,3.052181434631348,0.02303936561827351,0.05963025093078613,0.0018651264553378548,0.8,0.05,20,4,200,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 1.0)])",0.7667465479858495,0.7912910342728898,0.7495839514625888,0.7634156326385015,0.7872336377473363,0.7716541608214331,0.015539491959143562,78
26,0.26758532524108886,0.005132588822954349,0.01268019676208496,0.0005127447855160865,0.6,0.03,12,2,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 50), ('subsample', 0.4)])",0.7589319677431626,0.7791269637490966,0.7314763304043517,0.7711220651994359,0.8104202340182648,0.7702155122228623,0.02578642295954387,79
31,0.15908432006835938,0.005603825429140089,0.009232425689697265,0.00024580928217875507,0.6,0.075,12,2,20,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.7595845695918444,0.7880458556810833,0.7317960934231047,0.7672664548734388,0.8012390601217656,0.7695864067382474,0.023984029790279863,80
1,1.5723464488983154,0.00796715693644209,0.04830641746520996,0.0013318988444800536,1.0,0.075,12,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.75989957777017,0.7772904066339534,0.7409372741450797,0.7591135328211672,0.7912314497716895,0.7656944482284119,0.017183779205878668,81
29,1.117846632003784,0.004754531694584946,0.044567537307739255,0.0008322585143009285,0.6,0.075,12,2,200,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.4)])",0.7542056563581725,0.7723667693712198,0.7492772642550116,0.7599059618915833,0.7835426179604261,0.7638596539672826,0.012500140196317705,82
17,0.23197927474975585,0.0054473137954867,0.008225679397583008,0.0001425432885909598,0.8,0.03,20,4,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.6)])",0.7628891836889954,0.7567174008140286,0.7190043839628744,0.77401287517686,0.801665953196347,0.762857959367821,0.026800507613885936,83
28,0.11595683097839356,0.002278865569741238,0.008107662200927734,0.0003868991293200313,0.8,0.03,12,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.747382460344631,0.7749343832020998,0.7191838791890144,0.7764272700938226,0.791163670091324,0.7618183325841784,0.025583946904267157,84
5,2.2883899211883545,0.026506228968475553,0.0458338737487793,0.0012449571084248206,0.8,0.1,20,4,200,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.7562882764654418,0.7675976644223819,0.7409634257674312,0.7566632272212553,0.7849124809741247,0.761285014970127,0.014542365682928379,85
33,0.1332038402557373,0.0014686348885343465,0.008727693557739257,0.0001592375254255243,1.0,0.1,8,6,20,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 1.0)])",0.775508530183727,0.7691061375480238,0.7219155350146449,0.7535928638290843,0.7853916952054795,0.761102952356192,0.02215206438481217,86
19,0.07489356994628907,0.0013743768611250075,0.007930755615234375,0.0008380600600226435,0.6,0.05,6,6,20,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.6)])",0.766067794514816,0.764100479287915,0.7269378352162501,0.7629739312382243,0.7844927226027397,0.7609145525719889,0.018715205028651264,87
