,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
58,12.31423921585083,0.11724509507783508,0.48522119522094725,0.008315969895856661,True,40,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.7704767203012668,0.7860321807600136,0.7499310548138005,0.7781054960103231,0.818172089041096,0.7805435081852999,0.022317894376232137,41
27,15.61971468925476,0.18006485284508617,0.6107406139373779,0.011744401550738803,True,120,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.7671578416828331,0.787035452090228,0.7493295674997147,0.7799201825220312,0.8192541856925418,0.7805394458974697,0.02321437701918572,42
82,12.39369478225708,0.14556075671164384,0.48305039405822753,0.0064411926067333225,True,60,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.7687863745292708,0.786647932595382,0.7513099585377916,0.7777009023157602,0.818248192541857,0.7805386721040122,0.02218025305444554,43
26,18.661647748947143,0.14828588620928163,0.7419205188751221,0.03499873615970706,True,40,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.7690455133325724,0.7867192552017954,0.7499310548138005,0.7771718182536395,0.8198249619482497,0.7805385207100115,0.023073217446289544,44
22,10.70700831413269,0.197695678228508,0.4487146854400635,0.013947653081017763,True,80,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.7724689984404123,0.7880767621438624,0.7477176765947735,0.7755462613387982,0.8188641552511415,0.7805347707537974,0.023207442462754073,45
39,9.359166479110717,0.11394989432014133,0.3712313175201416,0.003096851532186078,True,80,sqrt,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.7670461029327857,0.7877986039788505,0.7486282285366503,0.7819886378599149,0.8170376712328768,0.7804998489082157,0.022747765799009372,46
73,12.367190885543824,0.10906087278835377,0.4798011779785156,0.005316912665176859,True,40,sqrt,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.7672576933318117,0.7888446688729127,0.7481788961162462,0.7796137446941966,0.8185549847792999,0.7804899975588935,0.02340347305650585,47
31,15.431192970275879,0.18567454079543216,0.6056717872619629,0.012019863838121434,True,40,auto,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7689123778006011,0.7866360454943132,0.7500784548670547,0.7783377184267289,0.8184741248097412,0.7804877442796878,0.02255705351536243,48
65,15.410501194000243,0.2595549361905662,0.618546438217163,0.03439383444378067,True,40,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.7696065845030241,0.7864292099357146,0.7511055003994065,0.778574728934195,0.8166048325722982,0.7804641712689278,0.021564405040165074,49
92,9.24177360534668,0.09689425731908817,0.36623382568359375,0.00757573309100306,True,60,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.7662567994218114,0.7886782494579483,0.7512909391760813,0.7769874767478326,0.8182315449010655,0.7802890019409479,0.022621699584407233,50
