,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
29,11.941687870025635,0.18262093187505146,0.19952735900878907,0.0024409883279279906,elu,0.4,0.0003,1,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 25)])",0.7359622803257608,0.7204983471045531,0.7159563119126238,0.7493597379392496,0.7058016618319485,0.7255156678228272,0.015380950668405923,41
38,8.153858184814453,0.21391202580636812,0.41631288528442384,0.008173511734055129,relu,0.2,0.003,3,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 200)])",0.7083028667960968,0.7336900934488091,0.7233985267970536,0.7277843954734963,0.7089925758395201,0.7204336916709952,0.010164756026844171,42
44,8.594899225234986,3.0338064850924233,0.3277693271636963,0.011035830501588361,elu,0.4,0.003,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1500)])",0.7105180692079661,0.7483549588608811,0.734786216239099,0.6590827873734366,0.7273218938984218,0.716012785115961,0.030976024296248034,43
26,7.193461990356445,0.2166050333126607,0.3335390567779541,0.10979782171208592,elu,0.8,0.0003,3,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 200)])",0.7191231400404139,0.703986846652494,0.6985792904919143,0.7566818046456223,0.6933625055312453,0.7143467174723379,0.022853225795471194,44
14,14.938614845275879,4.5853755576874855,0.2846957206726074,0.004870551463411975,relu,0.6,0.003,4,25,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 4), ('n_neurons', 25)])",0.4704657688193151,0.7475206568295825,0.7595715858098382,0.7624664979154258,0.7307979743350212,0.6941644967418366,0.11240397060486812,45
27,11.873646974563599,4.048421534394867,0.22249989509582518,0.01015205525386168,relu,0.6,0.0003,2,25,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 25)])",0.6941904065526767,0.6930501593551789,0.5038252476504953,0.6988460393091125,0.684487929593392,0.654879956492171,0.07566961007331133,46
22,16.821496152877806,0.4683439691539396,0.2769773006439209,0.005960792456186336,relu,0.4,0.0003,4,25,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 25)])",0.6730145122772642,0.5463037627370692,0.6816730166793666,0.605840530077427,0.6618024484979597,0.6337268540538175,0.0510901899837584,47
36,20.442130661010744,8.540229131284967,0.9141847610473632,0.9178692528607298,elu,0.4,3e-05,4,50,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 4), ('n_neurons', 50)])",0.4321805876229618,0.6587704691988955,0.61754296841927,0.7016043776057177,0.6839618466984609,0.6188120499090612,0.09749733750431169,48
37,12.225195741653442,0.5253647644036368,0.4633334159851074,0.02540113182722578,relu,0.8,0.0003,4,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 200)])",0.660079891365033,0.5857393696307079,0.5249547032427399,0.6181618522930314,0.5684596096169919,0.5914790852297008,0.045620992211835784,49
40,15.455478143692016,7.498743353751174,0.35939736366271974,0.021657065163858014,elu,0.4,3e-05,2,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 25)])",0.6086331660825496,0.6462733927468086,0.5439742612818559,0.47169073853484217,0.6042135798220168,0.5749570276936147,0.061155392819900775,50
