,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
36,21.05001950263977,4.053716151549009,0.3183711051940918,0.01062990321098595,elu,0.4,0.0003,3,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 200)])",0.7399414231432271,0.7605633021374056,0.7446198366994088,0.7641247340697847,0.7578954523977212,0.7534289496895095,0.009431460955882027,11
48,6.561987829208374,0.6214574858276605,0.24937043190002442,0.006081941796034371,relu,0.8,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.7415068777103727,0.7581002515943804,0.7423791695940657,0.7646689192520202,0.7594435256918874,0.7532197487685452,0.009469400372227604,12
38,8.137605953216553,0.5947165825444173,0.31005258560180665,0.01181423854507905,elu,0.2,0.03,3,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 200)])",0.7452644906139833,0.760818521370727,0.7435876964575624,0.7605509353538341,0.755376559774388,0.7531196407140991,0.007377695188028879,13
43,10.219880151748658,1.2665672249391962,0.2813424587249756,0.009469062999818072,relu,0.8,0.03,2,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 200)])",0.7446034877686513,0.7583676769649477,0.7423893814511087,0.7607166558588077,0.7589775249846213,0.7530109454056273,0.00783805566727893,14
45,8.334588813781739,0.6965198069731184,0.3130795001983643,0.009674232763901726,elu,0.4,0.03,3,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 200)])",0.7435204571619454,0.7597639850892787,0.7454520102133424,0.760768230203605,0.7553802744073675,0.7529769914151079,0.007191576131859552,15
22,10.398707914352418,1.9774151442747783,0.4301324367523193,0.3809563341628605,elu,0.6,0.003,1,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 200)])",0.7370614192062895,0.7587786169188899,0.7446326479382446,0.7618421900893829,0.7601038017039765,0.7524837351713567,0.00984641080900051,16
47,5.412794733047486,0.3868917978830395,0.5671003818511963,0.4984319341978275,relu,0.4,0.03,1,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 200)])",0.7401699593779639,0.7611606630965564,0.7377806775325777,0.7633700800540013,0.7592683807469087,0.7523499521616015,0.01102318000814246,17
17,10.299224853515625,0.4915144757101113,0.3554219245910645,0.010014039740468501,relu,0.4,0.003,4,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 4), ('n_neurons', 200)])",0.7425302577501,0.7577311084134315,0.743652681002381,0.7632532793319606,0.7541876914893301,0.7522710035974407,0.008040577484242643,18
20,7.3153783798217775,1.278509100669692,1.5441551685333252,1.8503457180335272,relu,0.6,0.03,1,25,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 25)])",0.7414427533508705,0.7595636934735632,0.7419018116948415,0.7620670694016238,0.7560390645662646,0.7522028784974328,0.00881013567776321,19
12,5.888699054718018,0.4090431583340063,1.3101625919342041,1.885056945072776,relu,0.4,0.003,1,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 500)])",0.7389739655100422,0.7607530520891359,0.7408739418659402,0.7636133516877325,0.7564077418894704,0.7521244106084642,0.01024015039929425,20
29,7.693172645568848,2.406858133358844,0.2544520854949951,0.005319550468895719,elu,0.4,0.03,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.7364302416444468,0.762964582228308,0.7444930240019487,0.7586438222657065,0.755059330117947,0.7515182000516714,0.009709102393576774,21
2,9.73850884437561,0.8904829310654624,0.3141432762145996,0.00864850709968035,relu,0.6,0.03,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 1000)])",0.7410354518232196,0.7585803596593823,0.7429296815237427,0.759594534636344,0.754362836434309,0.7513005728153995,0.007830799290668019,22
46,9.471682977676391,1.0612921227494527,0.3469657897949219,0.010501156709072389,elu,0.2,0.03,4,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 4), ('n_neurons', 500)])",0.7429202233317228,0.7596493213757574,0.7396227108729913,0.7644743777896601,0.7493373094764745,0.7512007885693212,0.009525314435729435,23
27,12.931450796127319,2.6020407391770455,1.355954647064209,2.0736447425594986,relu,0.4,0.03,3,25,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 25)])",0.7446016236884331,0.7594941554795569,0.7420117284106489,0.7567116804514273,0.7529769068696938,0.7511592189799521,0.006786510499984781,24
28,7.492606973648071,0.5706508999623258,0.36880011558532716,0.10079626438019458,elu,0.2,0.0003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 500)])",0.7441247919686476,0.7600079228927213,0.7320564674847044,0.7626666211598918,0.7556185681129961,0.7508948743237923,0.01135477475018748,25
24,10.782994413375855,1.6719103798392203,0.3051513671875,0.011166380812729814,elu,0.2,3e-05,3,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 3), ('n_neurons', 1000)])",0.7379694126805175,0.7593082892987685,0.737988628075997,0.764694706424419,0.7519583545067413,0.7503838781972887,0.010905824804572594,26
4,7.070179605484009,1.0370896906348082,0.37775435447692873,0.1313895852963643,elu,0.4,0.003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 500)])",0.7387454292753053,0.7603968548113264,0.7393926655843335,0.7541371346659234,0.7567156849634631,0.7498775538600703,0.009048942900220878,27
31,8.253051805496217,1.090468564092866,0.3712344169616699,0.10801050926343006,elu,0.2,0.003,3,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 200)])",0.7382756810603485,0.7528708464919192,0.7381973212999285,0.7651835250306223,0.7510185523629522,0.7491091852491542,0.010125351997298087,28
