,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18,17.90001997947693,2.731183079647201,0.8221819400787354,0.09823977262790816,True,120,auto,4,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 750)])",0.7558273954679133,0.781135310416346,0.7663119982014243,0.7732936316646547,0.7736769543998461,0.7700490580300368,0.008518394030649355,70
37,29.116017389297486,4.2782157656123605,1.2954577922821044,0.13560129286011238,True,80,auto,4,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1250)])",0.7557230861777026,0.7821725802270094,0.7665882152781717,0.7722080048772189,0.773530207265147,0.7700444187650499,0.008728917875655213,71
36,23.309085369110107,3.347094014862727,1.0425820827484131,0.10590935416236369,True,40,auto,4,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1000)])",0.7554567430386208,0.781601410909739,0.7661540151987751,0.773112862652008,0.7738548220475929,0.770035970769347,0.008779906089021761,72
98,10.408497095108032,1.531318946713474,0.46820778846740724,0.05281902991536842,True,80,auto,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.7556210554884916,0.7804808455736403,0.7658018447553694,0.7743377372783176,0.7739150389752798,0.7700313044142197,0.008583300900043883,73
44,20.519013833999633,3.020500200083184,0.9296608924865722,0.10427597088168113,True,20,sqrt,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.7558256232226913,0.7819269976748143,0.7655127156062902,0.7731627386961135,0.7736653158339906,0.7700186782067799,0.008794744608411537,74
17,15.959350299835204,2.4495174703122435,0.727818775177002,0.08872180795360013,True,,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.755625612690491,0.7806937681781724,0.7656274051899441,0.7739724015846909,0.774111376521015,0.7700061128328628,0.008634610334684177,75
51,27.848438453674316,4.140245097119994,1.2714082717895507,0.1424086636649993,True,100,sqrt,4,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7565580668551661,0.7818923123040403,0.7659686889841288,0.77201660239324,0.7735858699714121,0.7700043081015975,0.00842958104509703,76
81,14.894011497497559,2.2344717287229883,0.6634801387786865,0.07642862966990631,True,120,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.7563891972032958,0.7815963473519618,0.7649114181202453,0.7731698276770016,0.7738001713905327,0.7699733923486074,0.008603586002229957,77
84,22.155476999282836,3.266186830901409,0.9897650718688965,0.10396108028142578,True,120,auto,4,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1000)])",0.7561570330792102,0.7808593465174876,0.7665892279897271,0.7728698118787015,0.773158785206978,0.7699268409344209,0.00823861018159723,78
3,11.33301510810852,1.7041462208789437,0.5149960517883301,0.06114531003485537,True,40,sqrt,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.7554476286346218,0.7814421620176455,0.7654795493028492,0.7725381488442936,0.7746110758158951,0.769903712923061,0.008840666515926205,79
