,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
31,5.0635229587554935,0.5077465170076156,0.207993745803833,0.002570582797879037,elu,0.2,0.03,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 500)])",0.749993050457593,0.7456504244590114,0.7417184877396232,0.7479072737683502,0.722202969562347,0.741494441197385,0.010028300479247817,11
29,4.703753805160522,0.28640792470187343,0.20967483520507812,0.0024248013955248927,relu,0.6,0.003,3,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 1500)])",0.7498430969510107,0.7411297770460865,0.740493948686884,0.7462136737572975,0.7296322902402651,0.7414625573363087,0.006838285113687667,12
46,13.398699855804443,1.3480137748322043,0.2025454044342041,0.0033683396679643376,relu,0.4,0.0003,3,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 200)])",0.7489089218421181,0.7358047990470168,0.7463035090044043,0.7473803504021196,0.7287344344250395,0.7414264029441396,0.007847448479347124,13
12,4.198570489883423,0.4980118926784202,0.18363776206970214,0.001702395141766026,elu,0.4,0.03,2,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 25)])",0.7518014975774483,0.741175786595996,0.7440054771009225,0.741971038787393,0.7271960265718793,0.7412299653267278,0.007961963601028594,14
19,4.84451642036438,0.8242762122250169,0.18218464851379396,0.002483238481995255,elu,0.6,0.03,2,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 25)])",0.7467066020652866,0.7416342090205487,0.7421030048334785,0.7463123039868105,0.7258429255700191,0.7405198090952286,0.007628744461247793,15
44,9.808021545410156,1.5693793117209502,0.18160572052001953,0.0020743882171316403,relu,0.6,0.003,2,25,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 25)])",0.745604854891597,0.7419196773643053,0.7407495046631078,0.7470639277397328,0.7268532891163912,0.7404382507550269,0.007175459292991099,16
24,5.51974139213562,0.357948752329106,0.32004146575927733,0.1322693697135488,relu,0.4,0.03,3,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 1500)])",0.7489132286007929,0.7416639060936722,0.7338120275369452,0.750218751870904,0.726927893173408,0.7403071614551444,0.008891977920231045,17
18,6.216755676269531,1.3673879059603273,0.21229257583618164,0.0024398480533456917,elu,0.8,0.03,3,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 1500)])",0.7487895071697744,0.7397122646402389,0.7412728422872575,0.7444425511533981,0.7253447629957459,0.7399123856492829,0.007917476952188284,18
28,10.699075078964233,0.33329756146982237,0.1767205238342285,0.03140194627525861,relu,0.2,0.0003,1,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 50)])",0.7462416678901777,0.7439539268732579,0.7404969065106828,0.7469159823954635,0.7212451497335512,0.7397707266806266,0.009530490665092711,19
14,4.51623682975769,0.1371138968244719,0.18468542098999025,0.00564852282350568,relu,0.4,0.003,2,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 200)])",0.7476587872559096,0.7401568841998187,0.7394374140259217,0.7447311501129067,0.7263799945611236,0.739672846031136,0.007298648077703563,20
45,5.437662744522095,0.4439545058059828,0.22506332397460938,0.0019319689618044757,elu,0.2,0.03,4,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 4), ('n_neurons', 200)])",0.7469223315225371,0.7387665592552811,0.7378827818372266,0.7470648871777632,0.7262889455237966,0.739385101063321,0.007614956397770306,21
1,12.566026544570922,0.1591713976415801,0.18234753608703613,0.0024917234770580206,relu,0.4,0.0003,2,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 50)])",0.7478130475211668,0.7379563729082385,0.7430708047804743,0.7437590475006256,0.7243195588573867,0.7393837663135784,0.008157915395681557,22
39,6.192547559738159,0.5198724435263383,0.2263942241668701,0.0024842925280519883,elu,0.4,0.03,4,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 4), ('n_neurons', 200)])",0.7403631380609798,0.7436657397833704,0.7380985057862921,0.7476037075755693,0.7268573000871984,0.7393176782586821,0.007005773515534587,23
48,7.720391798019409,1.338107682464181,0.20173487663269044,0.0035799703064971584,relu,0.6,0.03,3,25,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 25)])",0.7458834238731464,0.7420102325239,0.7370719437398251,0.7460202510503928,0.7233920218581865,0.7388755746090901,0.008402094061650354,24
6,14.069895839691162,1.8166264524468592,0.22254276275634766,0.001025646190197593,elu,0.2,0.0003,4,50,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 50)])",0.7443112611951255,0.7434039036175218,0.7386802111334065,0.7443279942525824,0.7222486946295508,0.7385944129656374,0.008436555904299366,25
0,14.333300352096558,0.6903213563430685,0.21138958930969237,0.00510122308550971,elu,0.2,0.0003,3,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 25)])",0.7424029755787207,0.7410482146621561,0.7400885296381832,0.7427621913871633,0.7240684720848465,0.738074076670214,0.0070679312774854786,26
7,9.740527153015137,1.3399562804885004,0.18892288208007812,0.0012491787408420807,relu,0.4,3e-05,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 500)])",0.741664170704253,0.7357240732003574,0.7365880437663271,0.7440580083908612,0.7274447067619352,0.7370958005647468,0.005738038132755226,27
